id,School Name,School Size,School Town,Postal Code,Applied EQAO Achievement,Academic EQAO Achievement
670,École secondaire Gabriel-Dumont,155,London,N6M 0B1,0.6,0.84
671,Collège français,164,Toronto,M5B 1M3,0.42,0.92
672,École secondaire Le Caron,118,Penetanguishene,L9M 1N8,0.22,0.76
673,École secondaire publique l'Académie de la Seigneurie,71,Ottawa,K0A 1M0,0.8,0.9
675,École secondaire publique Marc-Garneau,67,Trenton,K8V 1E4,0.9,0.9
676,École secondaire publique Louis-Riel,456,Ottawa,K1B 4N3,0.61,0.95
677,École secondaire publique Omer-Deslauriers,380,Ottawa,K2E 7E6,0.62,0.9
678,École secondaire publique De La Salle,849,Ottawa,K1N 8R3,0.46,0.93
679,École secondaire publique L’Héritage,143,Cornwall,K6H 1E1,0.63,0.94
682,École secondaire publique Gisèle-Lalonde,653,Orléans,K4A 4X3,0.71,0.93
685,École secondaire publique Le Sommet,283,Hawkesbury,K6A 3R5,0.76,0.92
686,Sacred Heart HS,715,Walkerton,N0G 2V0,0.47,0.85
687,St Mary's HS,883,Owen Sound,N4K 1X2,0.34,0.78
688,St Anne's Catholic S,557,Clinton,N0M 1L0,0.49,0.77
689,St Michael Catholic SS,777,Stratford,N5A 7W2,0.52,0.81
690,Assumption College S,589,Windsor,N9C 2K7,0.55,0.91
691,Cardinal Carter Catholic SS,515,Leamington,N8H 5C7,0.57,0.92
692,Catholic Central,644,Windsor,N8X 2R7,0.58,0.87
693,F J Brennan HS,681,Windsor,N8Y 4A6,0.62,0.92
694,Holy Names HS,"1,258",Windsor,N9E 1A4,0.65,0.89
695,St Joseph's HS,"1,081",Windsor,N8P 2A3,0.56,0.88
696,St Anne/Sainte-Anne SS,"1,191",Belle River,N0R 1A0,0.59,0.92
697,St Thomas of Villanova SS,"1,134",LaSalle,N9H 0K3,0.7,0.91
699,Catholic Central High School,"1,115",London,N6B 3K3,0.33,0.73
700,Holy Cross Catholic SS,427,Strathroy,N7G 4K6,0.48,0.71
701,John Paul II Catholic SS,787,London,N5V 4P7,0.34,0.8
702,Mother Teresa Secondary School,779,London,N5X 4B1,0.47,0.86
703,Regina Mundi Catholic College,715,London,N6E 3X8,0.19,0.54
704,St Joseph's HS,668,St Thomas,N5R 6A7,0.61,0.75
705,St Mary's HS,589,Woodstock,N4V 1E8,0.47,0.81
706,St Thomas Aquinas SS,764,London,N6H 1W2,0.62,0.81
708,St Patrick's High School,"1,345",Sarnia,N7S 6K2,0.49,0.78
709,Ursuline College (The Pines) S,"1,227",Chatham,N7L 1B6,0.59,0.83
712,St. Oscar Romero,753,Toronto,M6N 2H4,0.31,0.73
713,Bishop Allen Academy,"1,634",Toronto,M8Y 2T3,0.37,0.82
714,St Mary Catholic Academy,621,Toronto,M6H 1J6,0.69,0.85
715,Brebeuf College School,958,Willowdale,M2M 3Y6,0.46,0.85
716,Bishop Marrocco/Thomas Merton Catholic SS,811,Toronto,M6P 1A3,0.4,0.7
717,St. John Henry Newman,"1,091",Scarborough,M1M 3X4,0.31,0.79
718,Cardinal Carter Academy for the Arts,659,Willowdale,M2N 3C8,0.31,0.93
719,Chaminade College S,908,Toronto,M6L 1M8,0.37,0.88
720,Dante Alighieri Academy Sep S,926,Toronto,M6B 2P9,0.34,0.67
722,Father Henry Carr Catholic SS,904,Rexdale,M9V 3S4,0.82,0.82
723,Francis Libermann Catholic HS,922,Scarborough,M1S 4G2,0.56,0.92
724,James Cardinal McGuigan Catholic,829,North York,M3J 3G3,0.69,0.95
725,Jean Vanier Catholic SS,934,Toronto,M1K 4G4,0.4,0.82
726,Loretto Abbey Catholic SS,963,Toronto,M5M 3E2,0.28,0.79
727,Loretto College S,467,Toronto,M6H 2N1,0.35,0.7
728,Madonna Catholic SS,738,Toronto,M3K 1V5,0.35,0.8
729,Marshall McLuhan Catholic SS,"1,080",Toronto,M5N 3B1,0.58,0.82
730,Mary Ward Catholic SS,"1,066",Scarborough,M1V 3S8,0.46,0.83
731,Michael Power/St Joseph HS,"1,941",Etobicoke,M9C 3Z7,0.53,0.83
732,Fr John Redmond Catholic SS and Regional Arts Centre,"1,193",Etobicoke,M8V 4B7,0.64,0.92
733,Monsignor Percy Johnson Catholic HS,978,Toronto,M9W 4K9,0.47,0.79
734,St Mother Teresa Catholic Academy,450,Scarborough,M1B 3G5,0.6,0.77
737,Neil McNeil HS,826,Toronto,M4E 3S2,0.58,0.88
738,Notre Dame Catholic SS,670,Toronto,M4E 3E1,0.47,0.84
739,St. John Paul II,"1,352",Scarborough,M1E 4P6,0.39,0.79
740,Senator O'Connor College School,"1,413",Don Mills,M3A 3R2,0.4,0.8
741,St Basil The Great College,"1,309",North York,M9M 3B2,0.35,0.78
742,St Joseph College,808,Toronto,M5S 1C4,0.46,0.87
743,St Joseph Morrow Park,477,Willowdale,M2M 3S4,0.48,0.85
745,St Patrick Catholic SS,767,Toronto,M4J 1G3,0.57,0.88
747,Holy Cross Catholic Secondary School,658,Peterborough,K9J 7M3,0.53,0.89
748,Holy Trinity Catholic Secondary School,700,Courtice,L1E 2M8,0.49,0.85
749,St. Mary Catholic Secondary School,894,Cobourg,K9A 5S9,0.54,0.84
750,St. Peter Catholic Secondary School,"1,074",Peterborough,K9J 8M4,0.62,0.86
751,St. Stephen Catholic Secondary School,"1,078",Bowmanville,L1C 3K2,0.7,0.87
752,St. Thomas Aquinas Catholic Secondary School,302,Lindsay,K9V 0J8,0.71,0.86
753,St Brother André CHS,"1,451",Markham,L3P 3K8,0.47,0.83
754,Father Michael McGivney Catholic Academy,"1,088",Markham,L3S 3K8,0.39,0.88
755,Holy Cross Catholic Academy HS,827,Woodbridge,L4L 1A5,0.45,0.74
756,Cardinal Carter SS,"1,435",Aurora,L4G 0P9,0.48,0.84
757,Our Lady Of the Lake C.H.S.,340,Keswick,L4P 2W6,0.43,0.61
758,Sacred Heart Catholic HS,"1,112",Newmarket,L3Y 1R9,0.51,0.9
759,St Augustine,"1,080",Markham,L6C 1S3,0.48,0.96
760,St Elizabeth Catholic HS,"1,627",Thornhill,L4J 7X3,0.45,0.88
761,St Jean de Brebeuf,"1,277",Woodbridge,L4H 2Y1,0.33,0.8
762,St Joan of Arc Catholic HS,"1,249",Maple,L6A 1W9,0.27,0.76
764,St Robert Catholic HS,"1,654",Thornhill,L3T 7P4,0.39,0.95
765,Father Bressani Catholic HS,974,Woodbridge,L4L 3W4,0.36,0.81
766,St Theresa of Lisieux CHS,"1,801",Richmond Hill,L4C 0E8,0.75,0.96
767,Ascension of Our Lord SS,779,Mississauga,L4T 3H7,0.38,0.88
768,Notre Dame,"1,483",Brampton,L6Z 4L5,0.41,0.88
769,St. Joan of Arc Catholic SS,"1,064",Mississauga,L5M 7G2,0.44,0.84
770,Father Michael Goetz Sep S,"1,228",Mississauga,L5B 3K6,0.42,0.81
771,Holy Name of Mary SS,759,Mississauga,L5L 2B1,0.57,0.9
772,Iona SS,816,Mississauga,L5J 2M4,0.51,0.83
773,John Cabot Catholic SS,808,Mississauga,L4W 3L6,0.51,0.9
775,Our Lady of Mount Carmel SS,"1,540",Mississauga,L5N 5J7,0.47,0.89
776,Philip Pocock Catholic SS,"1,024",Mississauga,L4W 1J9,0.5,0.89
777,Robert F Hall Catholic SS,910,Caledon East,L7C 0H3,0.56,0.81
778,St. Aloysius Gonzaga Secondary School,"1,708",Mississauga,L5M 6R5,0.49,0.92
779,St Augustine SS,"1,010",Brampton,L6Y 4T6,0.45,0.87
780,St. Edmund Campion Secondary School,"1,818",Brampton,L7A 3C7,0.57,0.88
781,St Francis Xavier SS,"1,876",Mississauga,L5R 3K3,0.39,0.91
782,Loyola Catholic SS,"1,108",Mississauga,L5L 6B1,0.29,0.85
783,St Joseph SS,"1,341",Mississauga,L5V 2B9,0.49,0.91
784,St Marcellinus,"1,806",Mississauga,L5W 1L9,0.75,0.95
785,St Marguerite d'Youville SS,"1,519",Brampton,L6R 2W5,0.63,0.8
786,St Martin's Sep S,"1,111",Mississauga,L5C 1X2,0.49,0.83
787,St Paul SS,424,Mississauga,L5E 1L8,0.49,0.87
788,Cardinal Leger SS,"1,161",Brampton,L6W 3K5,0.39,0.9
789,St Thomas Aquinas Sep S,"1,883",Brampton,L6S 6A2,0.56,0.79
790,Holy Trinity HS,651,Bradford,L3Z 2B3,0.24,0.77
791,Our Lady of the Bay Catholic High School,483,Collingwood,L9Y 4R1,0.49,0.81
792,Patrick Fogarty SS,801,Orillia,L3V 6S1,0.48,0.84
793,St Thomas Aquinas Catholic SS,636,Tottenham,L0G 1W0,0.39,0.76
794,St Dominic Catholic SS,188,Bracebridge,P1L 0A1,0.52,0.89
795,St. Joan of Arc Catholic HS,"1,078",Barrie,L4N 9C2,0.34,0.77
796,St. Joseph's Catholic High School,796,Barrie,L4M 6L1,0.27,0.73
797,St Peter's SS,"1,240",Barrie,L4N 6A3,0.37,0.72
798,St Theresas Sep S,999,Midland,L4R 5B2,0.41,0.73
800,All Saints Catholic SS,806,Whitby,L1P 1M1,0.49,0.85
801,Archbishop Denis O'Connor Catholic HS,670,Ajax,L1S 5H4,0.46,0.81
802,Father Leo J Austin Catholic SS,971,Whitby,L1R 2A2,0.59,0.88
803,Monsignor John Pereyma Catholic SS,426,Oshawa,L1H 3S6,0.46,0.76
804,Notre Dame Catholic SS,"1,123",Ajax,L1T 4G8,0.39,0.84
805,Monsignor Paul Dwyer Catholic HS,823,Oshawa,L1J 5P5,0.23,0.7
806,St Mary Catholic HS,"1,581",Pickering,L1V 1R9,0.3,0.77
809,Assumption Roman Catholic SS,939,Burlington,L7N 3P1,0.43,0.84
810,Bishop Paul Francis Reding SS,"1,646",Milton,L9T 6H7,0.47,0.91
811,Christ the King Catholic SS,"1,656",Georgetown,L7G 4A6,0.65,0.9
812,Holy Trinity Catholic SS,"1,239",Oakville,L6H 5Z8,0.46,0.85
813,Notre Dame Roman Catholic SS,"1,010",Burlington,L7M 3X6,0.49,0.84
814,Corpus Christi Secondary School,"1,049",Burlington,L7L 0E5,0.52,0.92
815,St Ignatius of Loyola SS,"1,255",Oakville,L6M 1S2,0.55,0.88
816,St Thomas Aquinas Roman Catholic SS,"1,321",Oakville,L6K 2W1,0.41,0.84
817,Bishop Tonnos Catholic SS,"1,137",Ancaster,L9G 5E3,0.56,0.93
818,Bishop Ryan Catholic SS,"1,934",Hannon,L0R 1P0,0.38,0.78
819,St. John Henry Newman Catholic Secondary School,"1,496",Stoney Creek,L8G 3V3,0.6,0.87
820,Cathedral High School,"1,250",Hamilton,L8L 8H5,0.25,0.71
821,St Jean de Brebeuf SS,"1,483",Hamilton,L8W 1B8,0.42,0.77
822,St. Mary’s Catholic SS,"1,000",Hamilton,L8S 2G7,0.51,0.88
823,St Thomas More Catholic SS,"1,966",Hamilton,L9B 2N4,0.32,0.76
824,Bishop Macdonell Catholic High School,763,Guelph,N1L 1G1,0.66,0.89
825,Our Lady of Lourdes Sep S,707,Guelph,N1H 5H7,0.69,0.95
826,St James HS,856,Guelph,N1E 5G9,0.42,0.78
827,Monsignor Doyle Catholic SS,"1,002",Cambridge,N1R 7H2,0.45,0.82
828,Resurrection Catholic SS,"1,317",Kitchener,N2N 3B9,0.69,0.88
829,St Benedict Catholic SS,"1,518",Cambridge,N1R 5W1,0.52,0.85
830,St David Catholic SS,980,Waterloo,N2L 3X5,0.62,0.84
831,St Mary's HS,"1,945",Kitchener,N2C 2S2,0.52,0.81
832,Blessed Trinity Catholic Secondary School,"1,021",Grimsby,L3M 5J6,0.38,0.82
833,Denis Morris Catholic High School,955,St Catharines,L2T 2M9,0.42,0.87
834,Holy Cross Catholic Secondary School,629,St Catharines,L2M 2P9,0.33,0.81
835,Lakeshore Catholic High School,872,Port Colborne,L3K 2E7,0.38,0.75
836,Notre Dame College School,"1,234",Welland,L3C 4H4,0.36,0.78
837,Saint Paul Catholic High School,771,Niagara Falls,L2J 2Y5,0.48,0.9
838,Saint Michael Catholic High School,921,Niagara Falls,L2E 6S5,0.62,0.95
839,Saint Francis Catholic Secondary School,578,St Catharines,L2N 4H7,0.75,0.87
840,Assumption College S,"1,443",Brantford,N3T 0G7,0.57,0.86
841,Holy Trinity Catholic HS,959,Simcoe,N3Y 4N5,0.55,0.87
842,St John's College,"1,098",Brantford,N3R 1H9,0.5,0.77
843,Holy Trinity Catholic SS,536,Cornwall,K6H 5S7,0.54,0.95
845,St Thomas Aquinas Secondary School,397,Russell,K4R 1E5,0.81,0.96
846,Notre Dame Catholic HS,489,Carleton Place,K7C 4P2,0.5,0.82
847,St Francis Xavier Catholic HS,272,Hammond,K0A 2A0,0.4,0.75
848,St. Luke Catholic HS,115,Smiths Falls,K7A 3Z9,0.21,0.95
849,St John Catholic HS,415,Perth,K7H 3C5,0.4,0.8
850,St Joseph's SS,726,Cornwall,K6J 5V9,0.42,0.87
851,St Mary's HS,493,Brockville,K6V 4N5,0.49,0.85
852,St Michael HS,474,Kemptville,K0G 1J0,0.68,0.91
853,L B Pearson Catholic HS,591,Gloucester,K1J 8M5,0.32,0.83
854,St Paul HS,503,Ottawa,K2H 7A1,0.51,0.86
855,St Matthew HS,647,Orleans,K1C 2S9,0.43,0.89
856,Immaculata HS,593,Ottawa,K1S 5P4,0.52,0.93
857,Holy Trinity Catholic HS,928,Kanata,K2L 4A7,0.77,0.92
858,All Saints Catholic HS,952,Kanata,K2K 3K5,0.68,0.93
859,St. Mother Teresa,"1,100",Nepean,K2J 4T1,0.52,0.93
860,Sacred Heart HS,"1,123",Stittsville,K2S 1X4,0.51,0.9
861,St Joseph Catholic HS,899,Nepean,K2J 4J1,0.54,0.91
862,Notre Dame HS,492,Ottawa,K2A 2M2,0.3,0.71
863,St Patrick's HS,816,Ottawa,K1V 7T3,0.46,0.8
865,St Peter Catholic HS,"1,186",Orleans,K4A 3M4,0.41,0.88
866,St Pius X Sep S,906,Ottawa,K2C 1X4,0.44,0.92
867,St Marks HS,699,Manotick,K4M 1B2,0.63,0.88
868,Bishop Smith Catholic HS,626,Pembroke,K8A 4G2,0.58,0.85
869,St Joseph's HS,471,Renfrew,K7V 4E1,0.86,0.96
870,Holy Cross Catholic SS,"1,047",Kingston,K7P 2V9,0.49,0.82
871,Regiopolis/Notre-Dame S,"1,018",Kingston,K7K 2E9,0.65,0.91
872,Nicholson Catholic College,448,Belleville,K8N 3C7,0.4,0.76
873,St Paul Catholic SS,329,Trenton,K8V 6M2,0.46,0.84
874,St Theresa SS,723,Belleville,K8N 5K3,0.26,0.68
875,ÉS E J Lajeunesse,482,Windsor,N9E 1A5,0.26,0.89
877,l'École secondaire Notre-Dame,84,Woodstock,N4T 0E4,0.19,0.6
878,ÉS de Pain Court,252,Paincourt,N0P 1Z0,0.33,0.72
879,ÉS Monseigneur Bruyère,213,London,N5Y 4K4,0.26,0.92
880,ÉS L'Essor,679,Tecumseh,N8N 3E4,0.29,0.81
881,ÉS Saint-François-Xavier,105,Sarnia,N7S 6K2,0.46,0.89
882,ÉSAC Mère-Teresa,186,Hamilton,L8T 4Y4,0.57,0.85
883,ÉSC Renaissance,458,Aurora,L4G 0E1,0.56,0.96
884,ÉSC Saint-Charles-Garnier,311,Whitby,L1R 2W6,0.69,0.97
885,ÉSC Mgr-de-Charbonnel,232,Toronto,M2M 1C8,0.42,0.95
886,ÉSC Nouvelle Alliance,284,Barrie,L4N 0B5,0.39,0.78
887,ÉSC Père-René-de-Galinée,328,Cambridge,N3H 4R7,0.54,0.86
888,ÉSC Jean-Vanier,424,Welland,L3B 5N4,0.32,0.82
889,ÉSC Sainte-Famille,465,Mississauga,L5N 7K8,0.5,0.9
890,École secondaire catholique de Casselman,538,Casselman,K0A 1M0,0.58,0.87
891,ÉS Embrun,417,Embrun,K0A 1W0,0.5,0.89
893,ÉS Hawkesbury,401,Hawkesbury,K6A 2P3,0.31,0.71
894,ÉS La Citadelle,372,Cornwall,K6H 4M1,0.33,0.86
895,ÉS L'Escale,517,Rockland,K4K 1C3,0.49,0.92
896,ÉS Plantagenet,232,Plantagenet,K0B 1L0,0.49,0.85
897,ÉS Le Relais,180,Alexandria,K0C 1A0,0.41,0.86
898,ÉS C Collège catholique Franco-Ouest,515,Nepean,K2H 8X1,0.41,0.9
899,ÉS C Collège catholique Samuel-Genest,700,Ottawa,K1K 2H3,0.58,0.88
900,ÉS C Jeanne-Lajoie,201,Pembroke,K8A 5R3,0.78,0.93
901,ÉS C Franco-Cité,853,Ottawa,K1G 1N7,0.45,0.88
902,ÉS C Béatrice-Desloges,886,Orléans,K4A 3Y6,0.61,0.92
903,ÉS C Centre professionnel et technique Minto,65,Ottawa,K1K 4R3,0.93,1
904,ÉS C Garneau,708,Orléans,K1C 1J4,0.65,0.95
905,ÉS C Marie-Rivier,141,Kingston,K7M 8N6,0.45,0.95
1101,St Maximilian Kolbe CHS,"1,334",Aurora,L4G 1J5,0.45,0.83
1102,Our Lady Queen of the World Catholic Academy,790,Richmond Hill,L4C 3P2,0.46,0.88
1104,St Roch Catholic SS,"1,412",Brampton,L6X 0N3,0.54,0.91
1105,Cardinal Ambrozic Cath SS,"1,335",Brampton,L6P 3A2,0.58,0.92
1108,Superior Collegiate and Vocational Institute,545,Thunder Bay,P7A 5S3,0.37,0.92
1112,Maxwell Heights Secondary School,"1,642",Oshawa,L1K 0N1,0.7,0.92
1113,École secondaire Roméo Dallaire,118,Barrie,L4N 9E9,0.73,0.83
1122,Superior Heights CVS,800,SaultSte. Marie,P6B 2C5,0.31,0.77
1123,St. Michael Catholic Secondary School,"1,194",Bolton,L7E 4G6,0.5,0.88
1148,David Suzuki Secondary School,"1,621",Brampton,L6X 0Z3,0.41,0.8
1151,Nottawasaga Pines Secondary School,735,Angus,L0M 1B1,0.56,0.79
